96,"knp ya tiap bikin igstory ato ngshare foto bayi pasti dibilangnya kode pgn punya anak ya pgn nikah ya haduuuu pdhl kan sama aja kyak kl nak indie ngpost senja, kopi.
chill aja gt lhooooo gak pgn buru2 nikah juga pdhl aq anaknya emg paling menikmati masa muda chill ahh"
97,@rosaatikar @lestariiidwia sama halnya dengan nikah muda ya mbaknya
98,jadi arsip sapa tau ntar kl dinikahin trs punya anak biar bisa liat emak bapaknya wkt muda. ato kl dia nikah sama orang lain biar anaknya dia tau bapaknya pernah punya mantan secantik ini😂🙏tos https://t.co/gsikoczcft
99,"dulu pas masih smp punya cita-cita ingin nikah muda, pas udah gedhe baru tau kalo mo nikah muda tidak semudah membalikkan telapak tangan."
100,@akmal09_ musnahkan akun2 hijrah nikah muda dan indonesia tanpa pacaran!
101,kenapa orang yang nikah muda gemes banget
102,gemes banget kalo liat pasangan muda yang udah nikah ini ❤️
103,@adanyainstagram tetangga gw nikah muda eh anaknya udah gede emaknya masi muda malah ngentod ama emaknya.. japanese mom and son..
104,"@askmenfess iyaaa. padahal sebelum nikah ayahku ganteng bat dah kurus juga, kadang ga percaya klo bandingin foto jaman muda ayah sama pas skrg 😂"
105,@bxnnypie mo nikah muda kali
106,"lu punya sahabat ga? kalo punya sebutin sahabat lu siapa aja karna mereka bagian terpenting luuu — punya dong. sahabat w sedari kecil yg sampe detik ini sampe dari jaman emak kita smsm se-spk bareng setempat kerja bareng dari muda, sampe nikah ternyata … https://t.co/b7yhfr7zsj"
107,"cita2 dlu pgn nikah muda
""emak slalu ngancem2 kerja dlu, manfaatin ilmu yg uda tth terima selama ini""
giliran uda umur segini, emak dah ngode2 pgn punya cucu gw nya yg jadi takut nikah, takut salah pilih sih sbnernya. jadi kayak ngambang aja angan2 skrg, wkwk"
108,@ncitybase jisung dong gpp dia nikah muda
109,"kalian koq bisa sih, nikah muda terus punya anak. abis itu cerai. 

pernikahan apa sebecanda itu ? :("
110,"sebenarnya gue udh sering denger cerita2 soal org yg nikah muda gt. tante gue jg abis lulus sma abis nikah

tp ngeliat langsung org seumur gue yg udh nikah. rasanya beda gt..."
111,nikah muda ?
112,"""neng""
""iya paak gimana""
""milih mana""
""milih apa""
""nikah muda atau nikah ketuaan""

wkwkwkkkk kerjaanku mulai terkontaminasi yeuh"
113,"gue: nggak kasian ya orang tuanya, masih muda, anaknya udah diijinin menikah?

orang lain ke gue: kamu udah tua kok belum nikah-nikah, nggak dapat ijin ya?

kwuuuooontol 😌"
114,"@ika_febby oiya, jangan lupain video2 nikmatnya nikah muda yg betebaran. kalo calonnya ada dan jelas mah enak ya ka. kalo random ini ya kali seminggu kenal ngajak nikah. laju serem."
115,apa yaa alasan orang2 berani nikah muda?
116,liat story keluh kesah sam pipel yang lagi hamil muda kalo bb nya naik sekian kilogram dimana beratnya = beratku sekarang yang nikah ae belom 😩
117,pada nikah muda cui https://t.co/nupchjxxdy
118,https://t.co/7fsoogiaaj
119,wina nikah muda https://t.co/wj9eae6gzn
120,"teman mu ada yg sudah melepas masa lajangnya kahh??? hehehehe — tmn sd udh ada
tmn smp ada
tmn sma apalagi udh banyak:( demen nikah muda apa udh ketemu jodohnya kali ya:( https://t.co/1zwnu1vsx8"
121,"klo nikah sama byungchan, yg ada aku stress, gara2 liat kelakuannya huahahahaha:v

klo nikah sama seungwoo bisa mati muda gara2 keseksiannya:v

klo nikah sama seungyoun waduh kalah tenaga di ekhemm(paan anjir)

klo nikah sama eunsang, aku bisa diabetes liat senyumnya yg manis:("
122,@ncitybase istri jaemin udh ada ya? istri jisung tp jisung masi muda dia nikah muda
123,"pernah sesekali di pikiran terbesit pengen nikah muda.

""mimpi ga tidur anjirr"""
124,"tetanggaku sepantaran, eh lebi muda
hari ini nikah yg kedua kalinya
dan ak? masi gini2 aja 😃😃😃😃"
125,"orang yg kalo di tanya ""kapan nikah?""
terus jawab ""ah masih lama, masih muda, hidup masih panjang, santai aja""
saat itu juga lo tau dia jomblo."
126,abah gak setuju aku nikah muda dong 😂 kata abah aku masih kecil 🤣
127,"sekarang jadi ustazd gambang banget 
cukup bermodal kan kecemata 👓 sama topi 🧢 dan topik pembicaraan ta'aruf, nikah muda. udah jadi ustadz 😊"
128,buat elo yg mau nikah muda yu di cek dulu di di yt ngaco unstitute https://t.co/xv0yjn4qdq https://t.co/aj12vc4le9
129,"aurel selalu memberi kode kepada krisdayanti untuk menikah muda. bagaimana tanggapan krisdayanti? #aurel #krisdayanti #nikahmuda 

via @20detik https://t.co/ofobzkug6s"
130,"@wariman_ ya gimana ya, kalo katanya usia udh ga muda buat main” tapi kalau dapetnya yg model begini yg ada ntr malah menderita keterusan, ya jdi berhubung msh ada waktu mending ya udahan saja refresh dulu baru deh berlahan memulai kembali, ya nikah itu ga sekedar nikah lohh 😬"
131,"@husein_rifai cita cita nikah muda
hoby mainin cewe 😂"
132,@tanya2rl dibolehin nikah muda
133,"menurut kalian gmn... aku pny pacar hamir 1 th tp dia umurnya lebih muda dan masih kuliah hidup dia masih panjang bgt,sdangk… — kalo  kamu ngerasa oke dg org yg mau diajakin nikah tu oke oke aja. berati km gajodoh aja si sm yg si berondong itu... allah… https://t.co/9xiiktv1tv"
134,"👦🏻 : ya saya kan nikah muda supaya menghindari zinah
🧔🏻 : ada cara lain untuk menghindari zinah
👦🏻 : misalnya?
🧔🏻 : meninggal muda"
135,"inilah kenapa di indonesia banyak janda2 muda yg baru nikah bentaran trus cerai, ha kemakan menye2, menjalin hubungan gur modal gedebus cinta taek gak ndue duwek 😂 https://t.co/lznuls4r3p"
136,explore ig aing isinya kalau ga pacaran ya nikah muda. kok bgst
137,@askfess kayanya kalau nikah sama sender awet muda nih ketawa mulu ❤️
138,"@xraybz pacaran no
nikah muda yes"
139,"@seuigimu menangis jangan² kamu '-' kalau kata org kesehatan yg aku tanyain, kalau masih muda itu emang wajar masih biasa telat telat2 beda kalau udah nikah"
140,ini yg pada nikah muda apa pengen cepetcepet ngerasain golden aniv kah ato gimana
141,"sempat bantah, bastian steel-shafa harris ingin nikah muda https://t.co/huaof54aad"
142,"wew kaget, ternyata tetangga sebelah rumah udah nikah aja kemarin.. kagetnya karna doi lebih muda dr aku wkwkw"
143,krisdayanti sebut aurel hermansyah beri sinyal mau nikah muda https://t.co/j1gqxewavg
144,"pengen nikah muda jodonya belum ada, gebetan gapunya, pacar gada, selingkuhan apa lagi. yaudalah jomblo aja"
145,"dari dulu udah niat nikah muda, tp makin dimantepin ko malah berat kalau harus ninggalin habit sama keluarga😣"
146,nikah muda nikah muda mending lu mati muda aja buru
147,"akhirnya nemu juga potongan kajian yg pas untuk dishare wkwk.

dari td pagi liat potongan kajiaj isinya nikah muda, menjadi suami yg baik, menjadi istri yang baik, romantis dengan istri, dll.

bukannya apa2 takut temen gua kebelet kawin semua wkwkkw"
148,@zarryhendrik gini nih yg bikin pengen nikah muda
149,"malu kuliah krn uda nikah, ya konsekuensi krn berani nikah muda dlu sbelum selesai studi.
ya emg rejeki allah luas, allah mbuka pintu rejeki bnyk klo uda nikah. tp skrg uda brp thn hbs nikah lalu ngeluh ga punya bnyak uang itu..... gimana ya aku ngomongnya 🤨"
150,@rmoonchild94_ @bts_twt bgst :) gue msh muda ya. blm nikah aja
151,seharusnya ustad ustad selain mendengungkan nikah muda juga mendengungkan lulus muda
152,"ikuti jejak krisdayanti, aurel beri sinyal ingin nikah muda https://t.co/nhpxfzly9m"
153,@ikramarki justin belum ikut kajian nikah muda aja belagu sok-sokan nikah muda.
154,kenapa pen cepet cepet nikah muda ? https://t.co/nyinb7idzq
155,"@aprilmup09 kalo udah nikah w sih fine"" aja, tapi kali yg ndusel"" masih pcrn dan lebih muda dari w langsung ih knp harus di tmpt umum sih, soalnya terakhir kali w pcrn emang ga suka ndusel"", skinship juga jarang karna w nya yg mls, dan sekarang berakhir dgn jomblo wkwkwk"
156,"@auliaachsnn kamu terlalu muda untuk memikirkan hal beginian bosque. ku yang tua sekarang bodo amat, mau nikah kapan juga bodo amat~"
157,"denger-denger taylor sempet ngebales justin ""halaah daripada lu nikah muda tapi ngandelin keyakinan rejeki udah ada yang ngatur, pret!"""
158,"x: blm nikah kan mba? umurnya berapa e?

me: belom. 25 wkwk

x: halah masih muda, tapi yo udah waktunya sih. blm ada calonnya?

me: belom. halah iseh emoh aku ki. emoh ngurusi wong :(
...
eh, maksude dewe kan wadon, kudu ngurusi kan. rung iso aku isehan.."
159,@irndah @eruxty @veggyprdsr @myoctopus6 @shfamaliaa temen gua mau nikah muda ya allah
160,@oonelaf gw tadi bacanya nikah umur 16 trs suaminya 21 lbh muda. lah belom lahir dong suaminya. mohon maaf atak kesalah bacaannya. hahahhaha
161,"gela ini di tv ada orang udah 16 tahun nikah, suaminya 21 tahun lebih muda dari istrinya. ebuset."
162,auto ingin nikah muda https://t.co/eb8vs5bnsa
163,"sungjae itu suka sama anak-anak, dan dia pingin nikah muda. tapi karena kesibukannya maka itu akan sulit."
164,@cakeymakeup semenjak dia putus sm selena dn nikah muda sm haileyy w udh sebel anjir
165,"nah gak lama ibu aku punya pacar karena yaa ibu aku masih muda jadi wajar kalo punya niatan nikah lagi
tapi aku tolak calon ayah ku itu ,kenapa? karena aku belum siap"
166,@pecintaayam_ mau nikah muda emang udah ada calonnya has?
167,"@womanfeeds tanya emak lu aja, makanya mikir aduh kesel. perasaan smp udh belajar sistem reproduksi:(
jangan muasin nafsu doang dek kalo kebelet bgt udah nikah muda sana, kalo gini kan bikin malu keluarga kalo beneran belendung:("
168,@suvianisaa oalah. yauda suv. gajadi nikah muda aku :)
169,"@jeno_wind 😂😂😂😂😂😂
njir baca komennya, dia anak 04l. udh kek anakku tuh kl aq nikah muda 😆😆😆😆
polos bgt sih astaga. siapa nih bocah??"
170,@zarryhendrik bang jadi pgn nikah muda kaaaaaan zzzz
171,@dewahoya bawaanya pengen nikah muda h3h3
172,hahahaha emang nikah muda sebahagia itu ya? hahahahaha!
173,"daftar ulang sekolah, ini duduk samping ibu2 baik bangett, saking baiknyaa gue disaranin utk nikah muda:)))))"
174,"@euisks @anggunwijip nikah kak, bukan kawin. aku baru 18tahun, masih muda dan belia blm mikirin nikah ehe"
175,@araa125 pingin nikah muda apa gimana nih? kok gw gak paham
176,"kan gue jadi ngejudge kebahagiaan orang lain gara2 di tuntut nikah :(
yah inti nya jangan dibandingin lah, gamau dibandingin. biarin sepupu lebih muda nikah duluan emang kenapa?
gue mau mewujudkan mimpi jualan nasi urap terkenal dulu :("
177,wish on july :) nikah muda banyak rejeki 😁
178,"@hendrikrniawn kalo mau nikah muda, sama siapa"
179,"denger² kata nya mau jadi pengusaha dan mau nikah muda, tapi sekarang idup nya masih main aja"
180,"@z_zettaa ayeeyyy,,, nikah muda. mama muda. demen yang muda muda"
181,"@ibrahimuhf telat lulus kuliah, nikah muda, pulang malem sering. ngeduda/ngejanda dan lama nikah jadinya.
auto gila seketika"
182,"tetangga:

telat lulus kuliah di nyinyirin, nikah cepet/muda di kira hamil duluan, nikah lama di kira nggak laku, pulang larut malem di kira anak nggak bener

jangan dengerin, kita itu harus bener di mata agama dan negara bukan di mata tetangga."
183,@diminest wkwkwk kirain siap nikah muda dan cpt punya anak 🤣
184,"suka bingung sama mereka mereka yang gembor gemborin bacot gede soal nikah muda.. nikah cepet dan soal pasangan tapi ga nikah nikah ampe sekarang... 

maksudnya apa yah? -,-"
